ORGANICA,TITULO,RESPONSABLE,FECHA_INI,FECHA_FIN
ORGA53,Proyecto de Investigación - DP6ZF5,00000074A,01/01/2021,31/12/2023
ORGA54,Proyecto de Investigación - V7ILLW,00000086A,01/11/2021,31/10/2023
ORGA55,Proyecto de Investigación - E7E97E,00000094A,01/11/2023,31/10/2027
ORGA56,Proyecto de Investigación - 1FCL16,00000010A,01/11/2023,31/10/2026
ORGA57,Proyecto de Investigación - VKJRXV,00000006A,01/01/2023,31/12/2025
ORGA58,Proyecto de Investigación - 8KIILJ,00000012A,01/07/2021,30/06/2024
ORGA59,Proyecto de Investigación - YLCFNC,00000096A,01/09/2021,31/08/2023
ORGA60,Proyecto de Investigación - LW0ATF,00000026A,01/11/2020,31/10/2023
ORGA61,Proyecto de Investigación - 3GUYV0,00000001A,01/11/2024,31/10/2026
ORGA62,Proyecto de Investigación - W0N62W,00000083A,01/07/2024,30/06/2025
ORGA63,Proyecto de Investigación - 47DOI1,00000017A,01/07/2024,30/06/2025
ORGA64,Proyecto de Investigación - EOLX6F,00000012A,01/07/2023,30/06/2024
ORGA65,Proyecto de Investigación - TA4YW4,00000044A,01/01/2021,31/12/2023
ORGA66,Proyecto de Investigación - 6BHYUR,00000054A,01/11/2024,31/10/2025
ORGA67,Proyecto de Investigación - CTN90R,00000016A,01/11/2022,31/10/2025
ORGA68,Proyecto de Investigación - T2A38Y,00000007A,01/01/2020,31/12/2022
ORGA69,Proyecto de Investigación - SWH67R,00000007A,01/07/2020,30/06/2023
ORGA70,Proyecto de Investigación - PB7MZW,00000042A,01/07/2025,30/06/2027
ORGA71,Proyecto de Investigación - KSC2XI,00000093A,01/07/2021,30/06/2022
ORGA72,Proyecto de Investigación - KLM1HL,00000059A,01/07/2023,30/06/2024
ORGA73,Proyecto de Investigación - MKAAR4,00000079A,01/11/2022,31/10/2025
ORGA74,Proyecto de Investigación - SGTVAS,00000028A,01/07/2022,30/06/2024
ORGA75,Proyecto de Investigación - 354T3J,00000084A,01/01/2025,31/12/2027
ORGA76,Proyecto de Investigación - J7OBD0,00000083A,01/07/2022,30/06/2023
ORGA77,Proyecto de Investigación - BSMH6K,00000099A,01/11/2020,31/10/2024
ORGA78,Proyecto de Investigación - L2KKU1,00000085A,01/01/2025,31/12/2028
ORGA79,Proyecto de Investigación - NU6DUX,00000069A,01/07/2021,30/06/2024
ORGA80,Proyecto de Investigación - SE1FUG,00000028A,01/01/2023,31/12/2026
ORGA81,Proyecto de Investigación - FIJGJP,00000005A,01/11/2024,31/10/2027
ORGA82,Proyecto de Investigación - AUTCBH,00000031A,01/01/2020,31/12/2024
ORGA83,Proyecto de Investigación - 05R864,00000077A,01/11/2021,31/10/2022
ORGA84,Proyecto de Investigación - 9GBOK5,00000005A,01/07/2021,30/06/2023
ORGA85,Proyecto de Investigación - 2EFES8,00000090A,01/01/2025,31/12/2027
ORGA86,Proyecto de Investigación - JP2J0Z,00000035A,01/09/2021,31/08/2022
ORGA87,Proyecto de Investigación - 5M7KHG,00000007A,01/09/2025,31/08/2028
ORGA88,Proyecto de Investigación - M0R9Z4,00000016A,01/09/2021,31/08/2024
ORGA89,Proyecto de Investigación - BREWPZ,00000029A,01/07/2023,30/06/2025
ORGA90,Proyecto de Investigación - O14FZ5,00000073A,01/07/2023,30/06/2027
ORGA91,Proyecto de Investigación - XPX3XN,00000016A,01/01/2025,31/12/2027
ORGA92,Proyecto de Investigación - J0Q2FS,00000092A,01/01/2024,31/12/2027
ORGA93,Proyecto de Investigación - 3DOT6K,00000012A,01/11/2025,31/10/2029
ORGA94,Proyecto de Investigación - IRYU4O,00000036A,01/07/2023,30/06/2025
ORGA95,Proyecto de Investigación - Y5YRNX,00000095A,01/09/2021,31/08/2024
ORGA96,Proyecto de Investigación - WSOM2A,00000015A,01/07/2024,30/06/2028
ORGA97,Proyecto de Investigación - C81VPW,00000097A,01/07/2023,30/06/2026
ORGA98,Proyecto de Investigación - MZGX2S,00000086A,01/09/2025,31/08/2026
ORGA99,Proyecto de Investigación - U6RLWD,00000030A,01/09/2023,31/08/2025
